NOMBRE|DELIVERY_TYPE|PRICE_TYPE|PRODUCTO DE ENVÍO|MATRICULA|PRECIOS
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|88000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|88000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|88000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|154000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|33000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|33000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|33000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|33000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|33000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|44000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|44000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|44000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|44000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|44000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|44000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|55000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|55000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|79000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|95000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|95000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|95000
ZONA R3-LA CEJA-EL RETIRO |fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|154000
ZONA R4-SANTUARIO-GUARNE-SANTA ELENEA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|45000
